#  E [GeV]   Gammas per Interaction 
  1.000000e-01   4.713083e+01
  1.025747e-01   4.689006e+01
  1.052157e-01   4.663168e+01
  1.079247e-01   4.635673e+01
  1.107034e-01   4.606620e+01
  1.135537e-01   4.576910e+01
  1.164773e-01   4.546669e+01
  1.194763e-01   4.515063e+01
  1.225524e-01   4.482180e+01
  1.257078e-01   4.448102e+01
  1.289444e-01   4.413709e+01
  1.322643e-01   4.378287e+01
  1.356697e-01   4.341864e+01
  1.391628e-01   4.304510e+01
  1.427458e-01   4.265755e+01
  1.464210e-01   4.225485e+01
  1.501909e-01   4.184549e+01
  1.540579e-01   4.143007e+01
  1.580244e-01   4.100913e+01
  1.620931e-01   4.057582e+01
  1.662665e-01   4.013749e+01
  1.705473e-01   3.969560e+01
  1.749384e-01   3.925060e+01
  1.794425e-01   3.879880e+01
  1.840626e-01   3.833766e+01
  1.888017e-01   3.787523e+01
  1.936627e-01   3.741185e+01
  1.986490e-01   3.694787e+01
  2.037636e-01   3.647030e+01
  2.090099e-01   3.599069e+01
  2.143912e-01   3.551219e+01
  2.199112e-01   3.503503e+01
  2.255732e-01   3.455330e+01
  2.313810e-01   3.405953e+01
  2.373384e-01   3.356878e+01
  2.434491e-01   3.308121e+01
  2.497172e-01   3.259697e+01
  2.561466e-01   3.209882e+01
  2.627416e-01   3.160006e+01
  2.695064e-01   3.110612e+01
  2.764454e-01   3.061706e+01
  2.835630e-01   3.012582e+01
  2.908639e-01   2.961793e+01
  2.983528e-01   2.911655e+01
  3.060344e-01   2.862168e+01
  3.139139e-01   2.813331e+01
  3.219962e-01   2.763580e+01
  3.302866e-01   2.713935e+01
  3.387905e-01   2.665041e+01
  3.475133e-01   2.616891e+01
  3.564607e-01   2.569077e+01
  3.656385e-01   2.520247e+01
  3.750526e-01   2.472250e+01
  3.847091e-01   2.425075e+01
  3.946141e-01   2.378711e+01
  4.047742e-01   2.331755e+01
  4.151960e-01   2.284939e+01
  4.258860e-01   2.239004e+01
  4.368512e-01   2.193935e+01
  4.480988e-01   2.149468e+01
  4.596360e-01   2.104133e+01
  4.714702e-01   2.059720e+01
  4.836092e-01   2.016211e+01
  4.960606e-01   1.973588e+01
  5.088327e-01   1.930796e+01
  5.219336e-01   1.888222e+01
  5.353717e-01   1.846568e+01
  5.491559e-01   1.805816e+01
  5.632950e-01   1.765810e+01
  5.777982e-01   1.724824e+01
  5.926747e-01   1.684783e+01
  6.079343e-01   1.645666e+01
  6.235867e-01   1.607450e+01
  6.396422e-01   1.569247e+01
  6.561110e-01   1.531219e+01
  6.730039e-01   1.494111e+01
  6.903317e-01   1.457902e+01
  7.081056e-01   1.422555e+01
  7.263372e-01   1.386478e+01
  7.450381e-01   1.351316e+01
  7.642206e-01   1.317046e+01
  7.838969e-01   1.283644e+01
  8.040799e-01   1.250294e+01
  8.247825e-01   1.216968e+01
  8.460181e-01   1.184528e+01
  8.678005e-01   1.152949e+01
  8.901437e-01   1.122210e+01
  9.130622e-01   1.090657e+01
  9.365708e-01   1.059900e+01
  9.606846e-01   1.029999e+01
  9.854193e-01   1.000932e+01
  1.010791e+00   9.718986e+00
