#  E [GeV]   # per interaction [GeV^{-1}]
  2.000000e-01   2.347171e+01
  2.051494e-01   2.322537e+01
  2.104314e-01   2.297661e+01
  2.158493e-01   2.272570e+01
  2.214068e-01   2.247291e+01
  2.271073e-01   2.221674e+01
  2.329547e-01   2.195734e+01
  2.389525e-01   2.169697e+01
  2.451048e-01   2.143584e+01
  2.514155e-01   2.117415e+01
  2.578887e-01   2.090707e+01
  2.645286e-01   2.063977e+01
  2.713394e-01   2.037270e+01
  2.783255e-01   2.010605e+01
  2.854916e-01   1.983438e+01
  2.928421e-01   1.955599e+01
  3.003819e-01   1.927907e+01
  3.081158e-01   1.900374e+01
  3.160488e-01   1.873008e+01
  3.241861e-01   1.844872e+01
  3.325329e-01   1.816848e+01
  3.410947e-01   1.789069e+01
  3.498768e-01   1.761539e+01
  3.588851e-01   1.733858e+01
  3.681253e-01   1.705740e+01
  3.776034e-01   1.677941e+01
  3.873255e-01   1.650463e+01
  3.972979e-01   1.623307e+01
  4.075272e-01   1.595458e+01
  4.180197e-01   1.567776e+01
  4.287825e-01   1.540478e+01
  4.398223e-01   1.513563e+01
  4.511464e-01   1.486638e+01
  4.627620e-01   1.459212e+01
  4.746767e-01   1.432227e+01
  4.868982e-01   1.405677e+01
  4.994344e-01   1.379557e+01
  5.122933e-01   1.352897e+01
  5.254833e-01   1.326422e+01
  5.390129e-01   1.300425e+01
  5.528908e-01   1.274896e+01
  5.671260e-01   1.249445e+01
  5.817278e-01   1.223277e+01
  5.967055e-01   1.197636e+01
  6.120689e-01   1.172511e+01
  6.278278e-01   1.147893e+01
  6.439924e-01   1.122953e+01
  6.605733e-01   1.098219e+01
  6.775810e-01   1.074018e+01
  6.950267e-01   1.050341e+01
  7.129215e-01   1.026975e+01
  7.312770e-01   1.003243e+01
  7.501052e-01   9.800556e+00
  7.694181e-01   9.574001e+00
  7.892283e-01   9.352644e+00
  8.095485e-01   9.129953e+00
  8.303919e-01   8.909230e+00
  8.517720e-01   8.693835e+00
  8.737025e-01   8.483640e+00
  8.961977e-01   8.277408e+00
  9.192720e-01   8.068552e+00
  9.429405e-01   7.864966e+00
  9.672183e-01   7.666517e+00
  9.921212e-01   7.473075e+00
  1.017665e+00   7.279642e+00
  1.043867e+00   7.087986e+00
  1.070743e+00   6.901366e+00
  1.098312e+00   6.719648e+00
  1.126590e+00   6.542094e+00
  1.155596e+00   6.360886e+00
  1.185349e+00   6.184653e+00
  1.215869e+00   6.013260e+00
  1.247173e+00   5.846574e+00
  1.279284e+00   5.681188e+00
  1.312222e+00   5.517673e+00
  1.346008e+00   5.358788e+00
  1.380663e+00   5.204402e+00
  1.416211e+00   5.054346e+00
  1.452674e+00   4.903608e+00
  1.490076e+00   4.757252e+00
  1.528441e+00   4.615155e+00
  1.567794e+00   4.477193e+00
  1.608160e+00   4.341250e+00
  1.649565e+00   4.207198e+00
  1.692036e+00   4.077140e+00
  1.735601e+00   3.950960e+00
  1.780287e+00   3.828546e+00
  1.826124e+00   3.706589e+00
  1.873142e+00   3.588182e+00
  1.921369e+00   3.473384e+00
  1.970839e+00   3.362088e+00
  2.021582e+00   3.253041e+00
  2.073631e+00   3.145818e+00
  2.127021e+00   3.041927e+00
  2.181785e+00   2.941270e+00
  2.237960e+00   2.843749e+00
  2.295580e+00   2.746990e+00
  2.354684e+00   2.653031e+00
  2.415310e+00   2.562058e+00
  2.477497e+00   2.473981e+00
  2.541285e+00   2.388161e+00
  2.606716e+00   2.304156e+00
  2.673831e+00   2.222864e+00
  2.742673e+00   2.144201e+00
  2.813289e+00   2.068087e+00
  2.885723e+00   1.993637e+00
  2.960021e+00   1.921467e+00
  3.036233e+00   1.851664e+00
  3.114406e+00   1.784154e+00
  3.194593e+00   1.718661e+00
  3.276844e+00   1.654878e+00
  3.361213e+00   1.593214e+00
  3.447754e+00   1.533603e+00
  3.536523e+00   1.475980e+00
  3.627577e+00   1.419926e+00
  3.720976e+00   1.365655e+00
  3.816780e+00   1.313214e+00
  3.915051e+00   1.262545e+00
  4.015851e+00   1.213520e+00
  4.119247e+00   1.165946e+00
  4.225305e+00   1.119995e+00
  4.334094e+00   1.075616e+00
  4.445684e+00   1.032760e+00
  4.560146e+00   9.912171e-01
  4.677556e+00   9.510483e-01
  4.797989e+00   9.122715e-01
  4.921523e+00   8.748421e-01
  5.048237e+00   8.387444e-01
  5.178214e+00   8.040208e-01
  5.311537e+00   7.705120e-01
  5.448293e+00   7.381787e-01
  5.588570e+00   7.069832e-01
  5.732458e+00   6.769937e-01
  5.880052e+00   6.481164e-01
  6.031445e+00   6.202624e-01
  6.186736e+00   5.933983e-01
  6.346026e+00   5.675243e-01
  6.509417e+00   5.427803e-01
  6.677014e+00   5.189208e-01
  6.848927e+00   4.959172e-01
  7.025266e+00   4.737415e-01
  7.206145e+00   4.525463e-01
  7.391681e+00   4.322313e-01
  7.581995e+00   4.126511e-01
  7.777208e+00   3.937815e-01
  7.977447e+00   3.756222e-01
  8.182842e+00   3.584015e-01
  8.393525e+00   3.418087e-01
  8.609633e+00   3.258230e-01
  8.831305e+00   3.104245e-01
  9.058684e+00   2.957016e-01
  9.291917e+00   2.816095e-01
  9.531156e+00   2.680386e-01
  9.776554e+00   2.549714e-01
  1.002827e+01   2.423976e-01
  1.028647e+01   2.306289e-01
  1.055131e+01   2.192983e-01
  1.082298e+01   2.083911e-01
  1.110164e+01   1.978934e-01
  1.138747e+01   1.879297e-01
  1.168066e+01   1.784825e-01
  1.198140e+01   1.693911e-01
  1.228989e+01   1.606437e-01
  1.260631e+01   1.522288e-01
  1.293089e+01   1.443961e-01
  1.326382e+01   1.368713e-01
  1.360532e+01   1.296332e-01
  1.395562e+01   1.226724e-01
  1.431493e+01   1.160932e-01
  1.468350e+01   1.099135e-01
  1.506155e+01   1.039710e-01
  1.544934e+01   9.825749e-02
  1.584712e+01   9.276533e-02
  1.625513e+01   8.769394e-02
  1.667365e+01   8.284057e-02
  1.710295e+01   7.817560e-02
  1.754330e+01   7.369262e-02
  1.799498e+01   6.945370e-02
  1.845830e+01   6.549287e-02
  1.893354e+01   6.168712e-02
  1.942102e+01   5.803117e-02
  1.992106e+01   5.451988e-02
  2.043396e+01   5.130841e-02
  2.096008e+01   4.825257e-02
  2.149973e+01   4.531780e-02
  2.205329e+01   4.249997e-02
  2.262109e+01   3.984889e-02
  2.320351e+01   3.741799e-02
  2.380093e+01   3.508402e-02
  2.441374e+01   3.284365e-02
  2.504232e+01   3.069364e-02
  2.568708e+01   2.874775e-02
  2.634844e+01   2.691111e-02
  2.702683e+01   2.514856e-02
  2.772269e+01   2.345753e-02
  2.843647e+01   2.186903e-02
  2.916862e+01   2.043946e-02
  2.991962e+01   1.906788e-02
  3.068996e+01   1.775227e-02
  3.148013e+01   1.649070e-02
  3.229065e+01   1.535991e-02
  3.312204e+01   1.430402e-02
  3.397483e+01   1.329145e-02
  3.484958e+01   1.232071e-02
  3.574685e+01   1.140638e-02
  3.666722e+01   1.059282e-02
  3.761129e+01   9.812923e-03
  3.857967e+01   9.065499e-03
  3.957297e+01   8.349414e-03
  4.059186e+01   7.715110e-03
  4.163697e+01   7.132017e-03
  4.270900e+01   6.573335e-03
  4.380863e+01   6.038206e-03
  4.493656e+01   5.534759e-03
  4.609354e+01   5.105476e-03
  4.728031e+01   4.694257e-03
  4.849764e+01   4.300464e-03
  4.974630e+01   3.923483e-03
  5.102712e+01   3.593641e-03
  5.234091e+01   3.296893e-03
  5.368853e+01   3.012779e-03
  5.507084e+01   2.740850e-03
  5.648875e+01   2.484087e-03
  5.794316e+01   2.274577e-03
  5.943502e+01   2.074019e-03
  6.096529e+01   1.882096e-03
  6.253496e+01   1.698501e-03
  6.414505e+01   1.539927e-03
  6.579659e+01   1.401497e-03
  6.749065e+01   1.269045e-03
  6.922833e+01   1.142360e-03
  7.101075e+01   1.022122e-03
  7.283906e+01   9.388252e-04
  7.471444e+01   8.590656e-04
  7.663811e+01   7.827185e-04
  7.861131e+01   7.096629e-04
  8.063531e+01   6.458099e-04
  8.271142e+01   5.906455e-04
  8.484099e+01   5.378436e-04
  8.702538e+01   4.873202e-04
  8.926602e+01   4.389943e-04
  9.156435e+01   4.013969e-04
  9.392185e+01   3.656802e-04
  9.634005e+01   3.315036e-04
  9.882052e+01   2.988123e-04
