#  E [GeV]   # per interaction [GeV^{-1}]
  2.000000e-01   4.011540e+01
  2.051494e-01   3.959439e+01
  2.104314e-01   3.907425e+01
  2.158493e-01   3.855529e+01
  2.214068e-01   3.803776e+01
  2.271073e-01   3.751221e+01
  2.329547e-01   3.697846e+01
  2.389525e-01   3.644787e+01
  2.451048e-01   3.592062e+01
  2.514155e-01   3.539687e+01
  2.578887e-01   3.485605e+01
  2.645286e-01   3.431884e+01
  2.713394e-01   3.378663e+01
  2.783255e-01   3.325952e+01
  2.854916e-01   3.272380e+01
  2.928421e-01   3.217496e+01
  3.003819e-01   3.163305e+01
  3.081158e-01   3.109808e+01
  3.160488e-01   3.057003e+01
  3.241861e-01   3.002808e+01
  3.325329e-01   2.949142e+01
  3.410947e-01   2.896278e+01
  3.498768e-01   2.844210e+01
  3.588851e-01   2.792108e+01
  3.681253e-01   2.739373e+01
  3.776034e-01   2.687527e+01
  3.873255e-01   2.636558e+01
  3.972979e-01   2.586454e+01
  4.075272e-01   2.535463e+01
  4.180197e-01   2.485046e+01
  4.287825e-01   2.435563e+01
  4.398223e-01   2.386998e+01
  4.511464e-01   2.338773e+01
  4.627620e-01   2.290166e+01
  4.746767e-01   2.242526e+01
  4.868982e-01   2.195835e+01
  4.994344e-01   2.150075e+01
  5.122933e-01   2.103974e+01
  5.254833e-01   2.058464e+01
  5.390129e-01   2.013914e+01
  5.528908e-01   1.970304e+01
  5.671260e-01   1.927132e+01
  5.817278e-01   1.883400e+01
  5.967055e-01   1.840649e+01
  6.120689e-01   1.798858e+01
  6.278278e-01   1.758005e+01
  6.439924e-01   1.717219e+01
  6.605733e-01   1.677036e+01
  6.775810e-01   1.637788e+01
  6.950267e-01   1.599454e+01
  7.129215e-01   1.561827e+01
  7.312770e-01   1.524273e+01
  7.501052e-01   1.487620e+01
  7.694181e-01   1.451846e+01
  7.892283e-01   1.416931e+01
  8.095485e-01   1.382265e+01
  8.303919e-01   1.348142e+01
  8.517720e-01   1.314861e+01
  8.737025e-01   1.282401e+01
  8.961977e-01   1.250642e+01
  9.192720e-01   1.218982e+01
  9.429405e-01   1.188123e+01
  9.672183e-01   1.158046e+01
  9.921212e-01   1.128729e+01
  1.017665e+00   1.099786e+01
  1.043867e+00   1.071341e+01
  1.070743e+00   1.043630e+01
  1.098312e+00   1.016636e+01
  1.126590e+00   9.902881e+00
  1.155596e+00   9.639271e+00
