#  E [GeV]   # per interaction [GeV^{-1}]
  2.000000e-01   5.277810e+01
  2.051494e-01   5.215408e+01
  2.104314e-01   5.152813e+01
  2.158493e-01   5.090075e+01
  2.214068e-01   5.027240e+01
  2.271073e-01   4.963469e+01
  2.329547e-01   4.898766e+01
  2.389525e-01   4.834183e+01
  2.451048e-01   4.769756e+01
  2.514155e-01   4.705518e+01
  2.578887e-01   4.639078e+01
  2.645286e-01   4.572864e+01
  2.713394e-01   4.507052e+01
  2.783255e-01   4.441662e+01
  2.854916e-01   4.374885e+01
  2.928421e-01   4.306131e+01
  3.003819e-01   4.238073e+01
  3.081158e-01   4.170717e+01
  3.160488e-01   4.104073e+01
  3.241861e-01   4.035112e+01
  3.325329e-01   3.966640e+01
  3.410947e-01   3.899062e+01
  3.498768e-01   3.832379e+01
  3.588851e-01   3.765322e+01
  3.681253e-01   3.696984e+01
  3.776034e-01   3.629705e+01
  3.873255e-01   3.563473e+01
  3.972979e-01   3.498280e+01
  4.075272e-01   3.431240e+01
  4.180197e-01   3.364774e+01
  4.287825e-01   3.299484e+01
  4.398223e-01   3.235350e+01
  4.511464e-01   3.171329e+01
  4.627620e-01   3.106119e+01
  4.746767e-01   3.042184e+01
  4.868982e-01   2.979501e+01
  4.994344e-01   2.918049e+01
  5.122933e-01   2.855213e+01
  5.254833e-01   2.792934e+01
  5.390129e-01   2.731982e+01
  5.528908e-01   2.672331e+01
  5.671260e-01   2.612991e+01
  5.817278e-01   2.551976e+01
  5.967055e-01   2.492378e+01
  6.120689e-01   2.434164e+01
  6.278278e-01   2.377303e+01
  6.439924e-01   2.319797e+01
  6.605733e-01   2.262902e+01
  6.775810e-01   2.207402e+01
  6.950267e-01   2.153263e+01
  7.129215e-01   2.099990e+01
  7.312770e-01   2.046021e+01
  7.501052e-01   1.993439e+01
  7.694181e-01   1.942207e+01
  7.892283e-01   1.892291e+01
  8.095485e-01   1.842204e+01
  8.303919e-01   1.792686e+01
  8.517720e-01   1.744494e+01
  8.737025e-01   1.697591e+01
  8.961977e-01   1.651694e+01
  9.192720e-01   1.605310e+01
  9.429405e-01   1.560214e+01
  9.672183e-01   1.516371e+01
  9.921212e-01   1.473745e+01
  1.017665e+00   1.431229e+01
  1.043867e+00   1.389207e+01
  1.070743e+00   1.348393e+01
  1.098312e+00   1.308753e+01
  1.126590e+00   1.270117e+01
  1.155596e+00   1.230747e+01
  1.185349e+00   1.192553e+01
  1.215869e+00   1.155501e+01
  1.247173e+00   1.119558e+01
  1.279284e+00   1.083961e+01
  1.312222e+00   1.048834e+01
  1.346008e+00   1.014788e+01
  1.380663e+00   9.817906e+00
  1.416211e+00   9.497999e+00
  1.452674e+00   9.176971e+00
  1.490076e+00   8.866075e+00
  1.528441e+00   8.565005e+00
  1.567794e+00   8.273463e+00
  1.608160e+00   7.987130e+00
  1.649565e+00   7.705703e+00
  1.692036e+00   7.433372e+00
  1.735601e+00   7.169858e+00
  1.780287e+00   6.914889e+00
  1.826124e+00   6.662749e+00
  1.873142e+00   6.418638e+00
  1.921369e+00   6.182583e+00
  1.970839e+00   5.954334e+00
  2.021582e+00   5.732019e+00
  2.073631e+00   5.514937e+00
  2.127021e+00   5.305141e+00
  2.181785e+00   5.102403e+00
  2.237960e+00   4.906500e+00
  2.295580e+00   4.714845e+00
  2.354684e+00   4.529443e+00
  2.415310e+00   4.350378e+00
  2.477497e+00   4.177449e+00
  2.541285e+00   4.010459e+00
  2.606716e+00   3.849218e+00
  2.673831e+00   3.693544e+00
  2.742673e+00   3.543261e+00
  2.813289e+00   3.398194e+00
  2.885723e+00   3.258283e+00
  2.960021e+00   3.123275e+00
  3.036233e+00   2.992992e+00
  3.114406e+00   2.867282e+00
  3.194593e+00   2.746066e+00
  3.276844e+00   2.629285e+00
