TH1.Print Name  = MVA_BDT_1test_reg_tgt0_rtgt0, Entries= 14066, Total sum= 14066
 fSumw[0][0]=0, x=-0.0971498, y=-2.35381
 fSumw[1][0]=0, x=-0.0251563, y=-2.35381
 fSumw[2][0]=0, x=0.0468372, y=-2.35381
 fSumw[3][0]=0, x=0.118831, y=-2.35381
 fSumw[4][0]=0, x=0.190824, y=-2.35381
 fSumw[5][0]=0, x=0.262818, y=-2.35381
 fSumw[6][0]=0, x=0.334811, y=-2.35381
 fSumw[7][0]=0, x=0.406805, y=-2.35381
 fSumw[8][0]=0, x=0.478798, y=-2.35381
 fSumw[9][0]=0, x=0.550792, y=-2.35381
 fSumw[10][0]=0, x=0.622785, y=-2.35381
 fSumw[11][0]=0, x=0.694779, y=-2.35381
 fSumw[12][0]=0, x=0.766772, y=-2.35381
 fSumw[13][0]=0, x=0.838766, y=-2.35381
 fSumw[14][0]=0, x=0.910759, y=-2.35381
 fSumw[15][0]=0, x=0.982752, y=-2.35381
 fSumw[16][0]=0, x=1.05475, y=-2.35381
 fSumw[17][0]=0, x=1.12674, y=-2.35381
 fSumw[18][0]=0, x=1.19873, y=-2.35381
 fSumw[19][0]=0, x=1.27073, y=-2.35381
 fSumw[20][0]=0, x=1.34272, y=-2.35381
 fSumw[21][0]=0, x=1.41471, y=-2.35381
 fSumw[22][0]=0, x=1.48671, y=-2.35381
 fSumw[23][0]=0, x=1.5587, y=-2.35381
 fSumw[24][0]=0, x=1.63069, y=-2.35381
 fSumw[25][0]=0, x=1.70269, y=-2.35381
 fSumw[26][0]=0, x=1.77468, y=-2.35381
 fSumw[27][0]=0, x=1.84667, y=-2.35381
 fSumw[28][0]=0, x=1.91867, y=-2.35381
 fSumw[29][0]=0, x=1.99066, y=-2.35381
 fSumw[30][0]=0, x=2.06265, y=-2.35381
 fSumw[31][0]=0, x=2.13465, y=-2.35381
 fSumw[32][0]=0, x=2.20664, y=-2.35381
 fSumw[33][0]=0, x=2.27864, y=-2.35381
 fSumw[34][0]=0, x=2.35063, y=-2.35381
 fSumw[35][0]=0, x=2.42262, y=-2.35381
 fSumw[36][0]=0, x=2.49462, y=-2.35381
 fSumw[37][0]=0, x=2.56661, y=-2.35381
 fSumw[38][0]=0, x=2.6386, y=-2.35381
 fSumw[39][0]=0, x=2.7106, y=-2.35381
 fSumw[40][0]=0, x=2.78259, y=-2.35381
 fSumw[41][0]=0, x=2.85458, y=-2.35381
 fSumw[42][0]=0, x=2.92658, y=-2.35381
 fSumw[43][0]=0, x=2.99857, y=-2.35381
 fSumw[44][0]=0, x=3.07056, y=-2.35381
 fSumw[45][0]=0, x=3.14256, y=-2.35381
 fSumw[46][0]=0, x=3.21455, y=-2.35381
 fSumw[47][0]=0, x=3.28654, y=-2.35381
 fSumw[48][0]=0, x=3.35854, y=-2.35381
 fSumw[49][0]=0, x=3.43053, y=-2.35381
 fSumw[50][0]=0, x=3.50252, y=-2.35381
 fSumw[51][0]=0, x=3.57452, y=-2.35381
 fSumw[0][1]=0, x=-0.0971498, y=-2.25938
 fSumw[1][1]=0, x=-0.0251563, y=-2.25938
 fSumw[2][1]=0, x=0.0468372, y=-2.25938
 fSumw[3][1]=0, x=0.118831, y=-2.25938
 fSumw[4][1]=0, x=0.190824, y=-2.25938
 fSumw[5][1]=0, x=0.262818, y=-2.25938
 fSumw[6][1]=0, x=0.334811, y=-2.25938
 fSumw[7][1]=0, x=0.406805, y=-2.25938
 fSumw[8][1]=0, x=0.478798, y=-2.25938
 fSumw[9][1]=0, x=0.550792, y=-2.25938
 fSumw[10][1]=0, x=0.622785, y=-2.25938
 fSumw[11][1]=0, x=0.694779, y=-2.25938
 fSumw[12][1]=0, x=0.766772, y=-2.25938
 fSumw[13][1]=0, x=0.838766, y=-2.25938
 fSumw[14][1]=0, x=0.910759, y=-2.25938
 fSumw[15][1]=0, x=0.982752, y=-2.25938
