#  E [GeV]   Gammas per Interaction 
  1.000000e-02   1.196494e+01
  1.025747e-02   1.267392e+01
  1.052157e-02   1.333977e+01
  1.079247e-02   1.396421e+01
  1.107034e-02   1.454889e+01
  1.135537e-02   1.530965e+01
  1.164773e-02   1.625750e+01
  1.194763e-02   1.714812e+01
  1.225524e-02   1.798379e+01
  1.257078e-02   1.876671e+01
  1.289444e-02   2.014982e+01
  1.322643e-02   2.149057e+01
  1.356697e-02   2.275133e+01
  1.391628e-02   2.393525e+01
  1.427458e-02   2.517476e+01
  1.464210e-02   2.651596e+01
  1.501909e-02   2.777396e+01
  1.540579e-02   2.895211e+01
  1.580244e-02   3.005361e+01
  1.620931e-02   3.125655e+01
  1.662665e-02   3.240244e+01
  1.705473e-02   3.347112e+01
  1.749384e-02   3.446574e+01
  1.794425e-02   3.546312e+01
  1.840626e-02   3.651911e+01
  1.888017e-02   3.749973e+01
  1.936627e-02   3.840812e+01
  1.986490e-02   3.924729e+01
  2.037636e-02   4.021004e+01
  2.090099e-02   4.113855e+01
  2.143912e-02   4.199511e+01
  2.199112e-02   4.278276e+01
  2.255732e-02   4.357961e+01
  2.313810e-02   4.448240e+01
  2.373384e-02   4.531241e+01
  2.434491e-02   4.607272e+01
  2.497172e-02   4.676632e+01
  2.561466e-02   4.758995e+01
  2.627416e-02   4.839958e+01
  2.695064e-02   4.913859e+01
  2.764454e-02   4.981000e+01
  2.835630e-02   5.046370e+01
  2.908639e-02   5.119817e+01
  2.983528e-02   5.186397e+01
  3.060344e-02   5.246409e+01
  3.139139e-02   5.300141e+01
  3.219962e-02   5.363269e+01
  3.302866e-02   5.425989e+01
  3.387905e-02   5.482181e+01
  3.475133e-02   5.532133e+01
  3.564607e-02   5.579696e+01
  3.656385e-02   5.637019e+01
  3.750526e-02   5.687949e+01
  3.847091e-02   5.732770e+01
  3.946141e-02   5.771758e+01
  4.047742e-02   5.816452e+01
  4.151960e-02   5.861100e+01
  4.258860e-02   5.899841e+01
  4.368512e-02   5.932944e+01
  4.480988e-02   5.962570e+01
  4.596360e-02   6.000014e+01
  4.714702e-02   6.031821e+01
  4.836092e-02   6.058251e+01
  4.960606e-02   6.079554e+01
  5.088327e-02   6.103362e+01
  5.219336e-02   6.127037e+01
  5.353717e-02   6.145679e+01
  5.491559e-02   6.159524e+01
  5.632950e-02   6.169290e+01
  5.777982e-02   6.181340e+01
  5.926747e-02   6.188899e+01
  6.079343e-02   6.192183e+01
  6.235867e-02   6.191404e+01
  6.396422e-02   6.190029e+01
  6.561110e-02   6.187562e+01
  6.730039e-02   6.181318e+01
  6.903317e-02   6.171489e+01
  7.081056e-02   6.158283e+01
  7.263372e-02   6.144439e+01
  7.450381e-02   6.127410e+01
  7.642206e-02   6.107364e+01
  7.838969e-02   6.084465e+01
  8.040799e-02   6.057717e+01
  8.247825e-02   6.027263e+01
  8.460181e-02   5.994522e+01
  8.678005e-02   5.959627e+01
  8.901437e-02   5.922707e+01
  9.130622e-02   5.875557e+01
  9.365708e-02   5.826625e+01
  9.606846e-02   5.776448e+01
  9.854193e-02   5.725119e+01
  1.010791e-01   5.665861e+01
  1.036816e-01   5.596809e+01
  1.063510e-01   5.527655e+01
  1.090893e-01   5.458446e+01
  1.118980e-01   5.389229e+01
  1.147790e-01   5.285867e+01
  1.177342e-01   5.180318e+01
  1.207655e-01   5.076739e+01
  1.238749e-01   4.975095e+01
  1.270643e-01   4.862913e+01
  1.303358e-01   4.732074e+01
  1.336915e-01   4.604740e+01
  1.371337e-01   4.480817e+01
  1.406644e-01   4.360214e+01
  1.442861e-01   4.242078e+01
  1.480011e-01   4.126979e+01
  1.518116e-01   4.014985e+01
  1.557203e-01   3.906014e+01
  1.597296e-01   3.802282e+01
  1.638422e-01   3.706364e+01
  1.680606e-01   3.612866e+01
  1.723877e-01   3.521727e+01
  1.768261e-01   3.432886e+01
  1.813789e-01   3.349073e+01
  1.860488e-01   3.268081e+01
  1.908390e-01   3.189044e+01
  1.957525e-01   3.111917e+01
  2.007926e-01   3.035639e+01
  2.059624e-01   2.958251e+01
