#  E [GeV]   # per interaction [GeV^{-1}]
  1.000000e+00   7.153128e+00
  1.025747e+00   7.024862e+00
  1.052157e+00   6.898529e+00
  1.079247e+00   6.774112e+00
  1.107034e+00   6.651594e+00
  1.135537e+00   6.529807e+00
  1.164773e+00   6.408681e+00
  1.194763e+00   6.289522e+00
  1.225524e+00   6.172307e+00
  1.257078e+00   6.057014e+00
  1.289444e+00   5.941133e+00
  1.322643e+00   5.827104e+00
  1.356697e+00   5.715057e+00
  1.391628e+00   5.604963e+00
  1.427458e+00   5.495337e+00
  1.464210e+00   5.385664e+00
  1.501909e+00   5.278035e+00
  1.540579e+00   5.172415e+00
  1.580244e+00   5.068772e+00
  1.620931e+00   4.964537e+00
  1.662665e+00   4.862019e+00
  1.705473e+00   4.761519e+00
  1.749384e+00   4.663001e+00
  1.794425e+00   4.565474e+00
  1.840626e+00   4.468218e+00
  1.888017e+00   4.372968e+00
  1.936627e+00   4.279685e+00
  1.986490e+00   4.188329e+00
  2.037636e+00   4.096646e+00
  2.090099e+00   4.006474e+00
  2.143912e+00   3.918247e+00
  2.199112e+00   3.831925e+00
  2.255732e+00   3.746653e+00
  2.313810e+00   3.661372e+00
  2.373384e+00   3.578013e+00
  2.434491e+00   3.496531e+00
  2.497172e+00   3.416885e+00
  2.561466e+00   3.337084e+00
  2.627416e+00   3.258565e+00
  2.695064e+00   3.181885e+00
  2.764454e+00   3.107002e+00
  2.835630e+00   3.033163e+00
  2.908639e+00   2.958880e+00
  2.983528e+00   2.886415e+00
  3.060344e+00   2.815724e+00
  3.139139e+00   2.746763e+00
  3.219962e+00   2.677913e+00
  3.302866e+00   2.610164e+00
  3.387905e+00   2.544130e+00
  3.475133e+00   2.479765e+00
  3.564607e+00   2.416644e+00
  3.656385e+00   2.353445e+00
  3.750526e+00   2.291896e+00
  3.847091e+00   2.231954e+00
  3.946141e+00   2.173578e+00
  4.047742e+00   2.115523e+00
  4.151960e+00   2.058391e+00
  4.258860e+00   2.002795e+00
  4.368512e+00   1.948693e+00
  4.480988e+00   1.895843e+00
  4.596360e+00   1.843032e+00
