#  E [GeV]   # per interaction [GeV^{-1}]
  1.000000e+00   7.747099e+00
  1.025747e+00   7.611424e+00
  1.052157e+00   7.477679e+00
  1.079247e+00   7.345853e+00
  1.107034e+00   7.215933e+00
  1.135537e+00   7.086585e+00
  1.164773e+00   6.957736e+00
  1.194763e+00   6.830890e+00
  1.225524e+00   6.706029e+00
  1.257078e+00   6.583132e+00
  1.289444e+00   6.459589e+00
  1.322643e+00   6.337945e+00
  1.356697e+00   6.218339e+00
  1.391628e+00   6.100743e+00
  1.427458e+00   5.983391e+00
  1.464210e+00   5.865674e+00
  1.501909e+00   5.750097e+00
  1.540579e+00   5.636626e+00
  1.580244e+00   5.525229e+00
  1.620931e+00   5.413212e+00
  1.662665e+00   5.302998e+00
  1.705473e+00   5.194907e+00
  1.749384e+00   5.088900e+00
  1.794425e+00   4.983804e+00
  1.840626e+00   4.878767e+00
  1.888017e+00   4.775863e+00
  1.936627e+00   4.675050e+00
  1.986490e+00   4.576290e+00
  2.037636e+00   4.476942e+00
  2.090099e+00   4.379167e+00
  2.143912e+00   4.283480e+00
  2.199112e+00   4.189838e+00
  2.255732e+00   4.097274e+00
  2.313810e+00   4.004593e+00
  2.373384e+00   3.913984e+00
  2.434491e+00   3.825401e+00
  2.497172e+00   3.738799e+00
  2.561466e+00   3.651835e+00
  2.627416e+00   3.566209e+00
  2.695064e+00   3.482580e+00
  2.764454e+00   3.400902e+00
  2.835630e+00   3.320318e+00
  2.908639e+00   3.239129e+00
  2.983528e+00   3.159923e+00
  3.060344e+00   3.082652e+00
  3.139139e+00   3.007270e+00
  3.219962e+00   2.931836e+00
  3.302866e+00   2.857545e+00
  3.387905e+00   2.785135e+00
  3.475133e+00   2.714560e+00
  3.564607e+00   2.645352e+00
  3.656385e+00   2.576065e+00
  3.750526e+00   2.508590e+00
  3.847091e+00   2.442879e+00
  3.946141e+00   2.378886e+00
  4.047742e+00   2.315206e+00
  4.151960e+00   2.252520e+00
  4.258860e+00   2.191522e+00
  4.368512e+00   2.132167e+00
  4.480988e+00   2.074170e+00
  4.596360e+00   2.016084e+00
  4.714702e+00   1.959607e+00
  4.836092e+00   1.904695e+00
  4.960606e+00   1.851306e+00
  5.088327e+00   1.798390e+00
  5.219336e+00   1.746298e+00
  5.353717e+00   1.695688e+00
  5.491559e+00   1.646519e+00
  5.632950e+00   1.598625e+00
  5.777982e+00   1.550397e+00
  5.926747e+00   1.503583e+00
  6.079343e+00   1.458142e+00
  6.235867e+00   1.414035e+00
  6.396422e+00   1.370546e+00
  6.561110e+00   1.327781e+00
  6.730039e+00   1.286300e+00
  6.903317e+00   1.246065e+00
  7.081056e+00   1.207031e+00
  7.263372e+00   1.168190e+00
  7.450381e+00   1.130539e+00
  7.642206e+00   1.094042e+00
  7.838969e+00   1.058665e+00
  8.040799e+00   1.023987e+00
  8.247825e+00   9.899727e-01
  8.460181e+00   9.570209e-01
  8.678005e+00   9.250995e-01
  8.901437e+00   8.941777e-01
  9.130622e+00   8.636141e-01
  9.365708e+00   8.339907e-01
  9.606846e+00   8.053104e-01
  9.854193e+00   7.775444e-01
  1.010791e+01   7.504489e-01
  1.036816e+01   7.239355e-01
  1.063510e+01   6.982803e-01
  1.090893e+01   6.734569e-01
  1.118980e+01   6.494397e-01
  1.147790e+01   6.258389e-01
  1.177342e+01   6.029712e-01
  1.207655e+01   5.808572e-01
  1.238749e+01   5.594734e-01
  1.270643e+01   5.387410e-01
  1.303358e+01   5.186012e-01
  1.336915e+01   4.991331e-01
  1.371337e+01   4.803156e-01
  1.406644e+01   4.621282e-01
  1.442861e+01   4.445011e-01
  1.480011e+01   4.274581e-01
  1.518116e+01   4.109907e-01
  1.557203e+01   3.950806e-01
  1.597296e+01   3.797032e-01
  1.638422e+01   3.648333e-01
  1.680606e+01   3.504706e-01
  1.723877e+01   3.365991e-01
  1.768261e+01   3.232031e-01
  1.813789e+01   3.102700e-01
  1.860488e+01   2.977832e-01
  1.908390e+01   2.857278e-01
  1.957525e+01   2.740899e-01
  2.007926e+01   2.628658e-01
  2.059624e+01   2.520606e-01
  2.112653e+01   2.416322e-01
  2.167047e+01   2.315685e-01
  2.222842e+01   2.218578e-01
  2.280073e+01   2.124757e-01
  2.338778e+01   2.034198e-01
  2.398995e+01   1.946846e-01
  2.460761e+01   1.862598e-01
  2.524118e+01   1.781498e-01
  2.589107e+01   1.703891e-01
  2.655768e+01   1.629058e-01
  2.724146e+01   1.556909e-01
  2.794285e+01   1.487355e-01
  2.866229e+01   1.420903e-01
  2.940026e+01   1.357143e-01
  3.015722e+01   1.295689e-01
  3.093368e+01   1.236465e-01
  3.173013e+01   1.179528e-01
  3.254708e+01   1.125495e-01
  3.338507e+01   1.073431e-01
  3.424463e+01   1.023272e-01
  3.512633e+01   9.749544e-02
  3.603073e+01   9.289999e-02
  3.695841e+01   8.851095e-02
  3.790997e+01   8.428372e-02
  3.888604e+01   8.021294e-02
  3.988724e+01   7.630034e-02
  4.091421e+01   7.261638e-02
  4.196763e+01   6.906929e-02
  4.304817e+01   6.565451e-02
  4.415652e+01   6.236764e-02
  4.529342e+01   5.924979e-02
  4.645959e+01   5.628584e-02
  4.765578e+01   5.343336e-02
  4.888277e+01   5.068861e-02
  5.014135e+01   4.804953e-02
  5.143234e+01   4.559395e-02
  5.275657e+01   4.323137e-02
  5.411489e+01   4.095867e-02
  5.550818e+01   3.877282e-02
  5.693735e+01   3.671050e-02
  5.840331e+01   3.476763e-02
  5.990702e+01   3.289917e-02
  6.144944e+01   3.110261e-02
  6.303157e+01   2.937550e-02
  6.465445e+01   2.778748e-02
  6.631910e+01   2.626360e-02
  6.802661e+01   2.479872e-02
  6.977809e+01   2.339082e-02
  7.157467e+01   2.206763e-02
  7.341750e+01   2.083427e-02
