#  E [GeV]   Gammas per Interaction 
  1.000000e+00   1.585846e+01
  1.025747e+00   1.546980e+01
  1.052157e+00   1.509066e+01
  1.079247e+00   1.472080e+01
  1.107034e+00   1.436000e+01
  1.135537e+00   1.400448e+01
  1.164773e+00   1.365385e+01
  1.194763e+00   1.331201e+01
  1.225524e+00   1.297872e+01
  1.257078e+00   1.265377e+01
  1.289444e+00   1.233078e+01
  1.322643e+00   1.201565e+01
  1.356697e+00   1.170858e+01
  1.391628e+00   1.140935e+01
  1.427458e+00   1.111505e+01
  1.464210e+00   1.082457e+01
  1.501909e+00   1.054168e+01
  1.540579e+00   1.026616e+01
  1.580244e+00   9.997835e+00
  1.620931e+00   9.732084e+00
  1.662665e+00   9.472811e+00
  1.705473e+00   9.220422e+00
  1.749384e+00   8.974735e+00
  1.794425e+00   8.734198e+00
  1.840626e+00   8.497654e+00
  1.888017e+00   8.267481e+00
  1.936627e+00   8.043509e+00
  1.986490e+00   7.825573e+00
  2.037636e+00   7.610990e+00
  2.090099e+00   7.401735e+00
  2.143912e+00   7.198190e+00
  2.199112e+00   7.000199e+00
  2.255732e+00   6.806873e+00
  2.313810e+00   6.617143e+00
  2.373384e+00   6.432648e+00
  2.434491e+00   6.253246e+00
  2.497172e+00   6.078798e+00
  2.561466e+00   5.907724e+00
  2.627416e+00   5.740986e+00
  2.695064e+00   5.578897e+00
  2.764454e+00   5.421327e+00
  2.835630e+00   5.267633e+00
  2.908639e+00   5.116633e+00
  2.983528e+00   4.969895e+00
  3.060344e+00   4.827300e+00
  3.139139e+00   4.688732e+00
  3.219962e+00   4.553166e+00
  3.302866e+00   4.421090e+00
  3.387905e+00   4.292776e+00
  3.475133e+00   4.168118e+00
  3.564607e+00   4.046804e+00
  3.656385e+00   3.928040e+00
  3.750526e+00   3.812688e+00
  3.847091e+00   3.700652e+00
  3.946141e+00   3.591839e+00
  4.047742e+00   3.485528e+00
  4.151960e+00   3.381967e+00
  4.258860e+00   3.281409e+00
  4.368512e+00   3.183767e+00
  4.480988e+00   3.088857e+00
  4.596360e+00   2.995991e+00
  4.714702e+00   2.905842e+00
  4.836092e+00   2.818331e+00
  4.960606e+00   2.733382e+00
  5.088327e+00   2.650473e+00
  5.219336e+00   2.569707e+00
  5.353717e+00   2.491326e+00
  5.491559e+00   2.415261e+00
  5.632950e+00   2.341382e+00
  5.777982e+00   2.268843e+00
  5.926747e+00   2.198471e+00
  6.079343e+00   2.130201e+00
  6.235867e+00   2.063974e+00
  6.396422e+00   1.999258e+00
  6.561110e+00   1.936097e+00
  6.730039e+00   1.874846e+00
  6.903317e+00   1.815450e+00
  7.081056e+00   1.757847e+00
  7.263372e+00   1.701121e+00
  7.450381e+00   1.646135e+00
  7.642206e+00   1.592838e+00
  7.838969e+00   1.541179e+00
  8.040799e+00   1.490645e+00
  8.247825e+00   1.441186e+00
  8.460181e+00   1.393271e+00
  8.678005e+00   1.346853e+00
  8.901437e+00   1.301888e+00
  9.130622e+00   1.257345e+00
  9.365708e+00   1.214168e+00
  9.606846e+00   1.172366e+00
  9.854193e+00   1.131898e+00
  1.010791e+01   1.092258e+00
  1.036816e+01   1.053275e+00
  1.063510e+01   1.015561e+00
  1.090893e+01   9.790758e-01
  1.118980e+01   9.437828e-01
  1.147790e+01   9.084236e-01
  1.177342e+01   8.741027e-01
  1.207655e+01   8.409325e-01
  1.238749e+01   8.088766e-01
  1.270643e+01   7.777619e-01
  1.303358e+01   7.474642e-01
  1.336915e+01   7.181975e-01
  1.371337e+01   6.899291e-01
  1.406644e+01   6.626273e-01
  1.442861e+01   6.365399e-01
  1.480011e+01   6.113980e-01
  1.518116e+01   5.871173e-01
  1.557203e+01   5.636703e-01
  1.597296e+01   5.411569e-01
  1.638422e+01   5.196973e-01
  1.680606e+01   4.989740e-01
  1.723877e+01   4.789636e-01
  1.768261e+01   4.596435e-01
  1.813789e+01   4.411807e-01
  1.860488e+01   4.234079e-01
  1.908390e+01   4.062494e-01
  1.957525e+01   3.896855e-01
  2.007926e+01   3.737123e-01
  2.059624e+01   3.583400e-01
  2.112653e+01   3.435039e-01
  2.167047e+01   3.291868e-01
  2.222842e+01   3.153721e-01
  2.280073e+01   3.020017e-01
  2.338778e+01   2.890880e-01
  2.398995e+01   2.766323e-01
  2.460761e+01   2.646198e-01
  2.524118e+01   2.530459e-01
  2.589107e+01   2.419273e-01
  2.655768e+01   2.312074e-01
  2.724146e+01   2.208732e-01
  2.794285e+01   2.109121e-01
  2.866229e+01   2.013634e-01
  2.940026e+01   1.921867e-01
  3.015722e+01   1.833438e-01
