#  E [GeV]   Gammas per Interaction 
  1.000000e+00   3.556307e-01
  1.025747e+00   3.486876e-01
  1.052157e+00   3.418689e-01
  1.079247e+00   3.351729e-01
  1.107034e+00   3.285976e-01
  1.135537e+00   3.220292e-01
  1.164773e+00   3.154608e-01
  1.194763e+00   3.090192e-01
  1.225524e+00   3.027023e-01
  1.257078e+00   2.965078e-01
  1.289444e+00   2.902355e-01
  1.322643e+00   2.840794e-01
  1.356697e+00   2.780495e-01
  1.391628e+00   2.721433e-01
  1.427458e+00   2.662414e-01
  1.464210e+00   2.603026e-01
  1.501909e+00   2.544941e-01
  1.540579e+00   2.488133e-01
  1.580244e+00   2.432572e-01
  1.620931e+00   2.376524e-01
  1.662665e+00   2.321539e-01
  1.705473e+00   2.267818e-01
  1.749384e+00   2.215330e-01
  1.794425e+00   2.163389e-01
  1.840626e+00   2.111493e-01
  1.888017e+00   2.060840e-01
  1.936627e+00   2.011399e-01
  1.986490e+00   1.963142e-01
  2.037636e+00   1.914683e-01
  2.090099e+00   1.867143e-01
  2.143912e+00   1.820783e-01
  2.199112e+00   1.775575e-01
  2.255732e+00   1.731048e-01
  2.313810e+00   1.686628e-01
  2.373384e+00   1.643347e-01
  2.434491e+00   1.601176e-01
  2.497172e+00   1.560087e-01
  2.561466e+00   1.519014e-01
  2.627416e+00   1.478715e-01
  2.695064e+00   1.439482e-01
  2.764454e+00   1.401287e-01
  2.835630e+00   1.363728e-01
  2.908639e+00   1.326016e-01
  2.983528e+00   1.289338e-01
  3.060344e+00   1.253665e-01
  3.139139e+00   1.218971e-01
  3.219962e+00   1.184587e-01
  3.302866e+00   1.150908e-01
  3.387905e+00   1.118173e-01
  3.475133e+00   1.086356e-01
  3.564607e+00   1.055270e-01
  3.656385e+00   1.024356e-01
  3.750526e+00   9.943283e-02
  3.847091e+00   9.651629e-02
  3.946141e+00   9.368351e-02
  4.047742e+00   9.088603e-02
  4.151960e+00   8.814611e-02
  4.258860e+00   8.548647e-02
  4.368512e+00   8.290482e-02
  4.480988e+00   8.039192e-02
  4.596360e+00   7.790500e-02
  4.714702e+00   7.549228e-02
  4.836092e+00   7.315160e-02
  4.960606e+00   7.088086e-02
  5.088327e+00   6.864793e-02
  5.219336e+00   6.646250e-02
  5.353717e+00   6.434354e-02
  5.491559e+00   6.228907e-02
  5.632950e+00   6.029418e-02
  5.777982e+00   5.831896e-02
  5.926747e+00   5.640491e-02
  6.079343e+00   5.455020e-02
  6.235867e+00   5.275306e-02
  6.396422e+00   5.099692e-02
  6.561110e+00   4.928325e-02
  6.730039e+00   4.762347e-02
  6.903317e+00   4.601597e-02
  7.081056e+00   4.445899e-02
  7.263372e+00   4.293224e-02
