#  E [GeV]   # per interaction [GeV^{-1}]
  1.000000e+00   1.246019e+01
  1.025747e+00   1.224056e+01
  1.052157e+00   1.202410e+01
  1.079247e+00   1.181079e+01
  1.107034e+00   1.160062e+01
  1.135537e+00   1.139098e+01
  1.164773e+00   1.118174e+01
  1.194763e+00   1.097583e+01
  1.225524e+00   1.077320e+01
  1.257078e+00   1.057384e+01
  1.289444e+00   1.037236e+01
  1.322643e+00   1.017402e+01
  1.356697e+00   9.979102e+00
  1.391628e+00   9.787558e+00
  1.427458e+00   9.596227e+00
  1.464210e+00   9.404022e+00
  1.501909e+00   9.215420e+00
  1.540579e+00   9.030362e+00
  1.580244e+00   8.848787e+00
  1.620931e+00   8.665425e+00
  1.662665e+00   8.485029e+00
  1.705473e+00   8.308229e+00
  1.749384e+00   8.134960e+00
  1.794425e+00   7.963095e+00
  1.840626e+00   7.791095e+00
  1.888017e+00   7.622713e+00
  1.936627e+00   7.457875e+00
  1.986490e+00   7.296509e+00
  2.037636e+00   7.133937e+00
  2.090099e+00   6.973987e+00
  2.143912e+00   6.817572e+00
  2.199112e+00   6.664615e+00
  2.255732e+00   6.513421e+00
  2.313810e+00   6.361892e+00
  2.373384e+00   6.213866e+00
  2.434491e+00   6.069264e+00
  2.497172e+00   5.928005e+00
  2.561466e+00   5.786132e+00
  2.627416e+00   5.646508e+00
  2.695064e+00   5.510249e+00
  2.764454e+00   5.377272e+00
  2.835630e+00   5.246034e+00
  2.908639e+00   5.113473e+00
  2.983528e+00   4.984261e+00
  3.060344e+00   4.858315e+00
  3.139139e+00   4.735551e+00
  3.219962e+00   4.612670e+00
  3.302866e+00   4.491701e+00
  3.387905e+00   4.373897e+00
  3.475133e+00   4.259178e+00
  3.564607e+00   4.146714e+00
  3.656385e+00   4.033941e+00
  3.750526e+00   3.924215e+00
  3.847091e+00   3.817457e+00
  3.946141e+00   3.713586e+00
  4.047742e+00   3.610163e+00
  4.151960e+00   3.508370e+00
  4.258860e+00   3.409413e+00
  4.368512e+00   3.313214e+00
  4.480988e+00   3.219295e+00
  4.596360e+00   3.125253e+00
  4.714702e+00   3.033903e+00
  4.836092e+00   2.945171e+00
  4.960606e+00   2.858982e+00
  5.088327e+00   2.773632e+00
  5.219336e+00   2.689685e+00
  5.353717e+00   2.608205e+00
  5.491559e+00   2.529121e+00
  5.632950e+00   2.452159e+00
  5.777982e+00   2.374672e+00
  5.926747e+00   2.299530e+00
  6.079343e+00   2.226664e+00
  6.235867e+00   2.156007e+00
  6.396422e+00   2.086373e+00
  6.561110e+00   2.017936e+00
  6.730039e+00   1.951621e+00
  6.903317e+00   1.887363e+00
  7.081056e+00   1.825086e+00
  7.263372e+00   1.763112e+00
  7.450381e+00   1.703099e+00
  7.642206e+00   1.644988e+00
  7.838969e+00   1.588721e+00
  8.040799e+00   1.533611e+00
  8.247825e+00   1.479598e+00
  8.460181e+00   1.427331e+00
  8.678005e+00   1.376755e+00
  8.901437e+00   1.327820e+00
  9.130622e+00   1.279534e+00
  9.365708e+00   1.232788e+00
  9.606846e+00   1.187583e+00
  9.854193e+00   1.143870e+00
  1.010791e+01   1.101305e+00
  1.036816e+01   1.059756e+00
  1.063510e+01   1.019598e+00
  1.090893e+01   9.807895e-01
  1.118980e+01   9.432865e-01
  1.147790e+01   9.064946e-01
  1.177342e+01   8.708910e-01
  1.207655e+01   8.365036e-01
  1.238749e+01   8.032937e-01
  1.270643e+01   7.712210e-01
  1.303358e+01   7.402472e-01
  1.336915e+01   7.103424e-01
  1.371337e+01   6.814725e-01
  1.406644e+01   6.536044e-01
  1.442861e+01   6.268124e-01
  1.480011e+01   6.009740e-01
  1.518116e+01   5.760378e-01
  1.557203e+01   5.519749e-01
  1.597296e+01   5.288001e-01
  1.638422e+01   5.065360e-01
  1.680606e+01   4.850565e-01
  1.723877e+01   4.643361e-01
  1.768261e+01   4.443503e-01
  1.813789e+01   4.251769e-01
  1.860488e+01   4.067144e-01
  1.908390e+01   3.889109e-01
  1.957525e+01   3.717449e-01
  2.007926e+01   3.552332e-01
  2.059624e+01   3.394271e-01
  2.112653e+01   3.241906e-01
  2.167047e+01   3.095052e-01
  2.222842e+01   2.953527e-01
  2.280073e+01   2.817545e-01
  2.338778e+01   2.686674e-01
  2.398995e+01   2.560598e-01
  2.460761e+01   2.439159e-01
  2.524118e+01   2.322604e-01
  2.589107e+01   2.212017e-01
  2.655768e+01   2.105519e-01
  2.724146e+01   2.002973e-01
  2.794285e+01   1.904249e-01
  2.866229e+01   1.810652e-01
  2.940026e+01   1.721265e-01
  3.015722e+01   1.635226e-01
  3.093368e+01   1.552421e-01
  3.173013e+01   1.473040e-01
  3.254708e+01   1.398549e-01
  3.338507e+01   1.326870e-01
  3.424463e+01   1.257908e-01
  3.512633e+01   1.191571e-01
  3.603073e+01   1.129085e-01
  3.695841e+01   1.069821e-01
  3.790997e+01   1.012820e-01
  3.888604e+01   9.580078e-02
  3.988724e+01   9.054673e-02
  4.091421e+01   8.568551e-02
  4.196763e+01   8.101127e-02
  4.304817e+01   7.651770e-02
  4.415652e+01   7.219868e-02
  4.529342e+01   6.813406e-02
  4.645959e+01   6.429736e-02
  4.765578e+01   6.061035e-02
  4.888277e+01   5.706792e-02
  5.014135e+01   5.366834e-02
  5.143234e+01   5.057666e-02
  5.275657e+01   4.760637e-02
  5.411489e+01   4.475333e-02
  5.550818e+01   4.201352e-02
  5.693735e+01   3.946158e-02
  5.840331e+01   3.709132e-02
  5.990702e+01   3.481519e-02
  6.144944e+01   3.262995e-02
  6.303157e+01   3.053249e-02
  6.465445e+01   2.865508e-02
  6.631910e+01   2.685818e-02
