#  E [GeV]   Gammas per Interaction 
  1.000000e+00   2.321903e-01
  1.025747e+00   2.273379e-01
  1.052157e+00   2.225828e-01
  1.079247e+00   2.179232e-01
  1.107034e+00   2.133573e-01
  1.135537e+00   2.088639e-01
  1.164773e+00   2.044404e-01
  1.194763e+00   2.001074e-01
  1.225524e+00   1.958631e-01
  1.257078e+00   1.917059e-01
  1.289444e+00   1.875836e-01
  1.322643e+00   1.835446e-01
  1.356697e+00   1.795901e-01
  1.391628e+00   1.757185e-01
  1.427458e+00   1.719079e-01
  1.464210e+00   1.681499e-01
  1.501909e+00   1.644722e-01
  1.540579e+00   1.608733e-01
  1.580244e+00   1.573514e-01
  1.620931e+00   1.538796e-01
  1.662665e+00   1.504797e-01
  1.705473e+00   1.471535e-01
  1.749384e+00   1.438996e-01
  1.794425e+00   1.407028e-01
  1.840626e+00   1.375522e-01
  1.888017e+00   1.344711e-01
  1.936627e+00   1.314580e-01
  1.986490e+00   1.285114e-01
  2.037636e+00   1.256142e-01
  2.090099e+00   1.227782e-01
  2.143912e+00   1.200055e-01
  2.199112e+00   1.172946e-01
  2.255732e+00   1.146452e-01
  2.313810e+00   1.120574e-01
  2.373384e+00   1.095273e-01
  2.434491e+00   1.070535e-01
  2.497172e+00   1.046350e-01
  2.561466e+00   1.022816e-01
  2.627416e+00   9.998362e-02
  2.695064e+00   9.773659e-02
  2.764454e+00   9.553937e-02
  2.835630e+00   9.339216e-02
  2.908639e+00   9.129654e-02
  2.983528e+00   8.924728e-02
  3.060344e+00   8.724337e-02
  3.139139e+00   8.528384e-02
  3.219962e+00   8.338030e-02
  3.302866e+00   8.152359e-02
  3.387905e+00   7.970755e-02
  3.475133e+00   7.793132e-02
  3.564607e+00   7.619919e-02
  3.656385e+00   7.452748e-02
  3.750526e+00   7.289169e-02
  3.847091e+00   7.129106e-02
  3.946141e+00   6.972485e-02
  4.047742e+00   6.820867e-02
  4.151960e+00   6.673312e-02
  4.258860e+00   6.528866e-02
  4.368512e+00   6.387467e-02
  4.480988e+00   6.249407e-02
  4.596360e+00   6.116679e-02
  4.714702e+00   5.986677e-02
  4.836092e+00   5.859347e-02
  4.960606e+00   5.734638e-02
  5.088327e+00   5.615536e-02
  5.219336e+00   5.500811e-02
  5.353717e+00   5.388308e-02
  5.491559e+00   5.277986e-02
  5.632950e+00   5.170054e-02
  5.777982e+00   5.067567e-02
  5.926747e+00   4.966967e-02
  6.079343e+00   4.868225e-02
  6.235867e+00   4.771310e-02
  6.396422e+00   4.678344e-02
  6.561110e+00   4.588840e-02
  6.730039e+00   4.500882e-02
  6.903317e+00   4.414449e-02
  7.081056e+00   4.329564e-02
  7.263372e+00   4.251068e-02
  7.450381e+00   4.173785e-02
  7.642206e+00   4.097704e-02
  7.838969e+00   4.022812e-02
  8.040799e+00   3.951128e-02
  8.247825e+00   3.882651e-02
  8.460181e+00   3.815122e-02
  8.678005e+00   3.748537e-02
  8.901437e+00   3.682891e-02
  9.130622e+00   3.621228e-02
  9.365708e+00   3.560493e-02
  9.606846e+00   3.500526e-02
  9.854193e+00   3.441326e-02
  1.010791e+01   3.384319e-02
  1.036816e+01   3.329911e-02
