#  E [GeV]   # per interaction [GeV^{-1}]
  2.000000e-01   4.038743e-01
  2.051494e-01   3.973052e-01
  2.104314e-01   3.908114e-01
  2.158493e-01   3.843933e-01
  2.214068e-01   3.780512e-01
  2.271073e-01   3.719217e-01
  2.329547e-01   3.660111e-01
  2.389525e-01   3.601628e-01
  2.451048e-01   3.543776e-01
  2.514155e-01   3.486559e-01
  2.578887e-01   3.430843e-01
  2.645286e-01   3.375779e-01
  2.713394e-01   3.321318e-01
  2.783255e-01   3.267464e-01
  2.854916e-01   3.214657e-01
  2.928421e-01   3.163045e-01
  3.003819e-01   3.111999e-01
  3.081158e-01   3.061523e-01
  3.160488e-01   3.011620e-01
  3.241861e-01   2.964941e-01
  3.325329e-01   2.919045e-01
  3.410947e-01   2.873585e-01
  3.498768e-01   2.828568e-01
  3.588851e-01   2.784964e-01
  3.681253e-01   2.743469e-01
  3.776034e-01   2.702302e-01
  3.873255e-01   2.661474e-01
  3.972979e-01   2.620992e-01
  4.075272e-01   2.582979e-01
  4.180197e-01   2.545654e-01
  4.287825e-01   2.508575e-01
  4.398223e-01   2.471755e-01
  4.511464e-01   2.435946e-01
  4.627620e-01   2.402089e-01
  4.746767e-01   2.368397e-01
  4.868982e-01   2.334883e-01
  4.994344e-01   2.301559e-01
  5.122933e-01   2.270177e-01
  5.254833e-01   2.239430e-01
  5.390129e-01   2.208797e-01
  5.528908e-01   2.178290e-01
  5.671260e-01   2.148400e-01
  5.817278e-01   2.120110e-01
  5.967055e-01   2.091887e-01
  6.120689e-01   2.063745e-01
  6.278278e-01   2.035698e-01
  6.439924e-01   2.009265e-01
  6.605733e-01   1.983473e-01
  6.775810e-01   1.957711e-01
  6.950267e-01   1.931992e-01
  7.129215e-01   1.906910e-01
  7.312770e-01   1.884406e-01
  7.501052e-01   1.861831e-01
  7.694181e-01   1.839201e-01
  7.892283e-01   1.816535e-01
  8.095485e-01   1.795737e-01
  8.303919e-01   1.775817e-01
  8.517720e-01   1.755766e-01
  8.737025e-01   1.735602e-01
  8.961977e-01   1.715618e-01
  9.192720e-01   1.697423e-01
  9.429405e-01   1.679060e-01
  9.672183e-01   1.660549e-01
  9.921212e-01   1.641910e-01
  1.017665e+00   1.624175e-01
  1.043867e+00   1.606969e-01
  1.070743e+00   1.589603e-01
  1.098312e+00   1.572096e-01
  1.126590e+00   1.554635e-01
  1.155596e+00   1.539348e-01
  1.185349e+00   1.523850e-01
  1.215869e+00   1.508160e-01
  1.247173e+00   1.492298e-01
  1.279284e+00   1.477899e-01
  1.312222e+00   1.464638e-01
  1.346008e+00   1.451111e-01
  1.380663e+00   1.437341e-01
  1.416211e+00   1.423368e-01
  1.452674e+00   1.411478e-01
  1.490076e+00   1.399287e-01
  1.528441e+00   1.386820e-01
  1.567794e+00   1.374096e-01
  1.608160e+00   1.362115e-01
  1.649565e+00   1.350902e-01
  1.692036e+00   1.339394e-01
  1.735601e+00   1.327612e-01
  1.780287e+00   1.315578e-01
  1.826124e+00   1.305127e-01
  1.873142e+00   1.294461e-01
  1.921369e+00   1.283509e-01
  1.970839e+00   1.272292e-01
  2.021582e+00   1.261610e-01
  2.073631e+00   1.251707e-01
